"AwardNumber","Title","NSFOrganization","Program(s)","StartDate","LastAmendmentDate","PrincipalInvestigator","State","Organization","AwardInstrument","ProgramManager","EndDate","AwardedAmountToDate","Co-PIName(s)","PIEmailAddress","OrganizationStreet","OrganizationCity","OrganizationState","OrganizationZip","OrganizationPhone","NSFDirectorate","ProgramElementCode(s)","ProgramReferenceCode(s)","ARRAAmount","Abstract"
"6320991","Response Intergration of Verbal Units as a Function of  Articulation","","","01/01/1963","","","CA","College of Alameda","","","01/01/1965","$30,500.00","","","","","CA","","","","","","$0.00",""
"6323116","Two-Person Interactions From the Standpoint of Stochastic Learning Theory","","","01/01/1963","","","CA","College of Alameda","","","01/01/1967","$34,350.00","","","","","CA","","","","","","$0.00",""
"6321936","Distribution of Current Structures, Diablo Range, California","","","01/01/1963","","","CA","College of Alameda","","","01/01/1966","$15,850.00","","","","","CA","","","","","","$0.00",""
"6218145","","","","01/01/1962","","","CA","College of Alameda","","","10/01/1962","$6,790.00","","","","","CA","","","","","","$0.00",""
"6323570","N/A","","","01/01/1963","","","CA","College of Alameda","","","10/01/1963","$920.00","","","","","CA","","","","","","$0.00",""
"6323521","N/A","","","01/01/1963","","","CA","College of Alameda","","","10/01/1963","$7,960.00","","","","","CA","","","","","","$0.00",""
"6219357","","","","01/01/1962","","","CA","College of Alameda","","","01/01/1964","$25,000.00","","","","","CA","","","","","","$0.00",""
"6218711","","","","01/01/1962","","","CA","College of Alameda","","","03/01/1962","$50,200.00","","","","","CA","","","","","","$0.00",""
"6215786","Nematocyst Distribution During Hydra Morphogenesis","","","01/01/1962","","","CA","College of Alameda","","","01/01/1964","$8,600.00","","","","","CA","","","","","","$0.00",""
"6323569","N/A","","","01/01/1963","","","CA","College of Alameda","","","10/01/1963","$9,630.00","","","","","CA","","","","","","$0.00",""
"6324111","N/A","","","01/01/1963","","","CA","College of Alameda","","","03/01/1963","$41,900.00","","","","","CA","","","","","","$0.00",""
"6218101","","","","01/01/1962","","","CA","College of Alameda","","","10/01/1962","$7,430.00","","","","","CA","","","","","","$0.00",""
