"AwardNumber","Title","NSFOrganization","Program(s)","StartDate","LastAmendmentDate","PrincipalInvestigator","State","Organization","AwardInstrument","ProgramManager","EndDate","AwardedAmountToDate","Co-PIName(s)","PIEmailAddress","OrganizationStreet","OrganizationCity","OrganizationState","OrganizationZip","OrganizationPhone","NSFDirectorate","ProgramElementCode(s)","ProgramReferenceCode(s)","ARRAAmount","Abstract"
"5803277","Summer Research for High School and College Chemistry Teachers","","","01/01/1958","","","CA","Long Beach City College","","","04/01/1958","$5,200.00","","","","","CA","","","","","","$0.00",""
"8162290","Equipment Program For an Honors Course in Earthquake StudiesAnd Other Ancillary Geology Courses","SER","ALT IN HIGH ED-INST SC EQ","10/15/1981","09/04/1981","Howard Shifflett","CA","Long Beach City College","Standard Grant","name not available","03/31/1984","$8,268.00","","","4901 East Carson Street","Long Beach","CA","908081706","2134204111","CSE","7450","","$0.00",""
"7727976","Student Science Training For High Ability Secondary School Students","EIA","SECON SCHOOL STUDENT TRAI","01/15/1978","02/03/1978","Howard Shifflett","CA","Long Beach City College","Standard Grant","name not available","10/31/1978","$7,870.00","","","4901 East Carson Street","Long Beach","CA","908081706","2134204111","CSE","7616","","$0.00",""
"7700572","Student Science Training","EIA","SECON SCHOOL STUDENT TRAI","02/01/1977","02/15/1977","Howard Shifflett","CA","Long Beach City College","Standard Grant","name not available","10/31/1977","$9,100.00","","","4901 East Carson Street","Long Beach","CA","908081706","2134204111","CSE","7616","","$0.00",""
"64E3315","Summer Institute in Field Biology","","","01/01/1964","","","CA","Long Beach City College","","","03/01/1964","$41,700.00","","","","","CA","","","","","","$0.00",""
"64P1810","Zeros of Analytic Functions","","","01/01/1964","","","CA","Long Beach City College","","","03/01/1966","$11,500.00","","","","","CA","","","","","","$0.00",""
"5905158","Animal Succession in Newly Developed Marine Harbors;","","","01/01/1959","","","CA","Long Beach City College","","","01/01/1962","$20,700.00","","","","","CA","","","","","","$0.00",""
"5702137","Organic Chemistry","","","01/01/1957","","","CA","Long Beach City College","","","04/01/1957","$6,000.00","","","","","CA","","","","","","$0.00",""
"6114563","N/A","","","01/01/1961","","","CA","Long Beach City College","","","04/01/1961","$8,765.00","","","","","CA","","","","","","$0.00",""
"64B1512","Effects of Thyroxin Upon Certain Cells in the Spinal Cord and Spinal Ganglia of Rana Pipiens Larvae","","","01/01/1964","","","CA","Long Beach City College","","","01/01/1966","$7,200.00","","","","","CA","","","","","","$0.00",""
"65P4101","English Terminology for the International Tectonic Dictionary","","","01/01/1965","","","CA","Long Beach City College","","","01/01/1966","$45,300.00","","","","","CA","","","","","","$0.00",""
"6010481","N/A","","","01/01/1960","","","CA","Long Beach City College","","","04/01/1960","$10,510.00","","","","","CA","","","","","","$0.00",""
"6218833","","","","01/01/1962","","","CA","Long Beach City College","","","02/01/1962","$28,000.00","","","","","CA","","","","","","$0.00",""
"6218242","","","","01/01/1962","","","CA","Long Beach City College","","","10/01/1962","$11,750.00","","","","","CA","","","","","","$0.00",""
"6321984","Basic English Terminology for the International Tectonic Dictionary","","","01/01/1963","","","CA","Long Beach City College","","","01/01/1964","$11,900.00","","","","","CA","","","","","","$0.00",""
"67W1228","Summer Institute in Field Natural History for Secondary  School Teachers","","","01/01/1967","","","CA","Long Beach City College","","","03/01/1967","$48,780.00","","","","","CA","","","","","","$0.00",""
"7469377","INSTRUCTIONAL SCIENTIFIC EQUIPMENT PROGRAM","","","01/01/1974","","","CA","Long Beach City College","","","01/01/1976","$20,000.00","","","","","CA","","","","","","$0.00",""
"6322748","Green's Functions for the Many-Body Problem","","","01/01/1963","","","CA","Long Beach City College","","","01/01/1965","$30,700.00","","","","","CA","","","","","","$0.00",""
