"AwardNumber","Title","NSFOrganization","Program(s)","StartDate","LastAmendmentDate","PrincipalInvestigator","State","Organization","AwardInstrument","ProgramManager","EndDate","AwardedAmountToDate","Co-PIName(s)","PIEmailAddress","OrganizationStreet","OrganizationCity","OrganizationState","OrganizationZip","OrganizationPhone","NSFDirectorate","ProgramElementCode(s)","ProgramReferenceCode(s)","ARRAAmount","Abstract"
"6321521","Construction of a  Laboratory Building","","","01/01/1963","","","HI","University of Hawaii Honolulu Community College","","","01/01/1964","$11,500.00","","","","","HI","","","","","","$0.00",""
"6113381","Contruct and Equip an Institute of Geophysics","","","01/01/1961","","","HI","University of Hawaii Honolulu Community College","","","01/01/1963","$300,000.00","","","","","HI","","","","","","$0.00",""
"6325785","N/A","","","01/01/1963","","","HI","University of Hawaii Honolulu Community College","","","04/01/1963","$7,500.00","","","","","HI","","","","","","$0.00",""
"6216403","Zoogeographic Status of an  Eastern Equatorial Pacific Atoll","","","01/01/1962","","","HI","University of Hawaii Honolulu Community College","","","01/01/1963","$25,800.00","","","","","HI","","","","","","$0.00",""
"6323310","N/A","","","01/01/1963","","","HI","University of Hawaii Honolulu Community College","","","12/01/1963","$123,900.00","","","","","HI","","","","","","$0.00",""
"6010657","N/A","","","01/01/1960","","","HI","University of Hawaii Honolulu Community College","","","01/01/1961","$4,025.00","","","","","HI","","","","","","$0.00",""
"5702925","Zoogeography of the Alpheidae in the Central Pacific","","","01/01/1957","","","HI","University of Hawaii Honolulu Community College","","","01/01/1958","$5,300.00","","","","","HI","","","","","","$0.00",""
"6321399","Platyhelminthes of Fishes in Hawaiian  Waters","","","01/01/1963","","","HI","University of Hawaii Honolulu Community College","","","01/01/1965","$50,000.00","","","","","HI","","","","","","$0.00",""
"6010042","N/A","","","01/01/1960","","","HI","University of Hawaii Honolulu Community College","","","02/01/1960","$71,000.00","","","","","HI","","","","","","$0.00",""
"6216404","Recolonization and Ecological Succession on Recent  Lava Flows","","","01/01/1962","","","HI","University of Hawaii Honolulu Community College","","","01/01/1965","$47,100.00","","","","","HI","","","","","","$0.00",""
"5804142","Insects of Hawaii","","","01/01/1958","","","HI","University of Hawaii Honolulu Community College","","","01/01/1961","$37,500.00","","","","","HI","","","","","","$0.00",""
"6321397","Alpheid Shrimp Fauna of  Thailand","","","01/01/1963","","","HI","University of Hawaii Honolulu Community College","","","01/01/1964","$3,700.00","","","","","HI","","","","","","$0.00",""
"6323769","N/A","","","01/01/1963","","","HI","University of Hawaii Honolulu Community College","","","07/01/1963","$18,070.00","","","","","HI","","","","","","$0.00",""
"5501204","Zoogeography of the Alpheidae in the Central Pacific","","","01/01/1955","","","HI","University of Hawaii Honolulu Community College","","","01/01/1957","$8,000.00","","","","","HI","","","","","","$0.00",""
"6114558","N/A","","","01/01/1961","","","HI","University of Hawaii Honolulu Community College","","","01/01/1962","$13,995.00","","","","","HI","","","","","","$0.00",""
"6322933","K-Coronameter Mounting on Mount Haleakala","","","01/01/1963","","","HI","University of Hawaii Honolulu Community College","","","01/01/1964","$50,000.00","","","","","HI","","","","","","$0.00",""
"6322092","Potassium-Argon Method of Dating Volcanic Rocks and  Minerals, Hawaiian Islands","","","01/01/1963","","","HI","University of Hawaii Honolulu Community College","","","01/01/1965","$55,000.00","","","","","HI","","","","","","$0.00",""
"5803928","Simultaneous Brightness Contrast","","","01/01/1958","","","HI","University of Hawaii Honolulu Community College","","","01/01/1960","$11,000.00","","","","","HI","","","","","","$0.00",""
"5906488","In-Service Institute for Secondary School Teachers of Science and Mathematics","","","01/01/1959","","","HI","University of Hawaii Honolulu Community College","","","09/01/1959","$15,900.00","","","","","HI","","","","","","$0.00",""
"6322934","Mount Haleakala Flare Patrol","","","01/01/1963","","","HI","University of Hawaii Honolulu Community College","","","01/01/1964","$34,400.00","","","","","HI","","","","","","$0.00",""
"6008017","Geochemistry of Hawaiian Lavas","","","01/01/1960","","","HI","University of Hawaii Honolulu Community College","","","01/01/1961","$15,700.00","","","","","HI","","","","","","$0.00",""
"6217435","Transplanted Placentas in the Rat","","","01/01/1962","","","HI","University of Hawaii Honolulu Community College","","","01/01/1964","$17,600.00","","","","","HI","","","","","","$0.00",""
"6321072","Response Class in Verbal  Operant Conditioning","","","01/01/1963","","","HI","University of Hawaii Honolulu Community College","","","01/01/1965","$15,000.00","","","","","HI","","","","","","$0.00",""
"6320557","Environmental Influences on Reef Fish Metabolism","","","01/01/1963","","","HI","University of Hawaii Honolulu Community College","","","01/01/1966","$28,700.00","","","","","HI","","","","","","$0.00",""
"6113107","Mathematical Model of Negotiation","","","01/01/1961","","","HI","University of Hawaii Honolulu Community College","","","01/01/1962","$4,700.00","","","","","HI","","","","","","$0.00",""
"5804245","Improvement of Research Facilities at the Hawaii Marine Laboratory","","","01/01/1958","","","HI","University of Hawaii Honolulu Community College","","","01/01/1959","$13,500.00","","","","","HI","","","","","","$0.00",""
"6009282","Diptera of Hawaii","","","01/01/1960","","","HI","University of Hawaii Honolulu Community College","","","01/01/1964","$16,500.00","","","","","HI","","","","","","$0.00",""
"5703100","Summer Institute for High School Teachers of Science;","","","01/01/1957","","","HI","University of Hawaii Honolulu Community College","","","03/01/1957","$63,700.00","","","","","HI","","","","","","$0.00",""
"6321216","Neurosecretions and Ionic and Osmotic Relations in  Annelids","","","01/01/1963","","","HI","University of Hawaii Honolulu Community College","","","01/01/1966","$44,100.00","","","","","HI","","","","","","$0.00",""
"5601837","Synergism Among Insect Viruses","","","01/01/1956","","","HI","University of Hawaii Honolulu Community College","","","01/01/1958","$9,000.00","","","","","HI","","","","","","$0.00",""
"5906759","Summer Institute for High School Teachers of Science and Mathematics","","","01/01/1959","","","HI","University of Hawaii Honolulu Community College","","","02/01/1959","$90,900.00","","","","","HI","","","","","","$0.00",""
"6321398","Variation in Phacelia, Subgenus Cosmanthus  (Hydrophyllaceae)","","","01/01/1963","","","HI","University of Hawaii Honolulu Community College","","","01/01/1964","$3,900.00","","","","","HI","","","","","","$0.00",""
"5905555","Functions and Physiochemical Properties of Plant Enzymes;","","","01/01/1959","","","HI","University of Hawaii Honolulu Community College","","","01/01/1961","$20,000.00","","","","","HI","","","","","","$0.00",""
"6320940","Characterization of  Ferredoxin Proteins","","","01/01/1963","","","HI","University of Hawaii Honolulu Community College","","","01/01/1965","$45,000.00","","","","","HI","","","","","","$0.00",""
"5907090","Undergraduate Research Participation Program","","","01/01/1959","","","HI","University of Hawaii Honolulu Community College","","","04/01/1959","$6,810.00","","","","","HI","","","","","","$0.00",""
"6322093","The Evaluation of Past Climates as Expressed in Fossil  Soils","","","01/01/1963","","","HI","University of Hawaii Honolulu Community College","","","01/01/1964","$5,000.00","","","","","HI","","","","","","$0.00",""
"6113971","N/A","","","01/01/1961","","","HI","University of Hawaii Honolulu Community College","","","02/01/1961","$69,900.00","","","","","HI","","","","","","$0.00",""
"6010658","N/A","","","01/01/1960","","","HI","University of Hawaii Honolulu Community College","","","04/01/1960","$4,445.00","","","","","HI","","","","","","$0.00",""
"5400614","Diptera of Hawaii","","","01/01/1954","","","HI","University of Hawaii Honolulu Community College","","","01/01/1955","$2,000.00","","","","","HI","","","","","","$0.00",""
"5906303","Solar Activity Flare Patrol;","","","01/01/1959","","","HI","University of Hawaii Honolulu Community College","","","01/01/1960","$8,000.00","","","","","HI","","","","","","$0.00",""
"6113022","Action of Visible Radiation on Plant Growth","","","01/01/1961","","","HI","University of Hawaii Honolulu Community College","","","01/01/1964","$55,800.00","","","","","HI","","","","","","$0.00",""
"6113495","N/A","","","01/01/1961","","","HI","University of Hawaii Honolulu Community College","","","10/01/1961","$83,800.00","","","","","HI","","","","","","$0.00",""
"6216861","Catabolism of  3-amino-1,2,4-triazole and Related Heterocyclic Rings in Plants","","","01/01/1962","","","HI","University of Hawaii Honolulu Community College","","","01/01/1965","$14,400.00","","","","","HI","","","","","","$0.00",""
"6325784","N/A","","","01/01/1963","","","HI","University of Hawaii Honolulu Community College","","","01/01/1965","$21,000.00","","","","","HI","","","","","","$0.00",""
"6324525","N/A","","","01/01/1963","","","HI","University of Hawaii Honolulu Community College","","","03/01/1963","$27,500.00","","","","","HI","","","","","","$0.00",""
"6114711","N/A","","","01/01/1961","","","HI","University of Hawaii Honolulu Community College","","","01/01/1962","$7,305.00","","","","","HI","","","","","","$0.00",""
"6321073","Physiological Mechanisms Underlying the Behavior of  Hermit Crabs and Other Marine Crustacea","","","01/01/1963","","","HI","University of Hawaii Honolulu Community College","","","01/01/1965","$24,200.00","","","","","HI","","","","","","$0.00",""
"6320556","Environmental Origin of  Toxin in Ciguateric Fishes","","","01/01/1963","","","HI","University of Hawaii Honolulu Community College","","","01/01/1965","$39,900.00","","","","","HI","","","","","","$0.00",""
"6217434","Structure and Function of  Sound-Receiveing Organs of Insects","","","01/01/1962","","","HI","University of Hawaii Honolulu Community College","","","05/01/1963","$15,600.00","","","","","HI","","","","","","$0.00",""
"6216505","Genetic Studies of  Pollen Cell Elongation","","","01/01/1962","","","HI","University of Hawaii Honolulu Community College","","","01/01/1964","$37,300.00","","","","","HI","","","","","","$0.00",""
"6322932","Atmospheric Circulation Project for the International Indian Ocean Expedition","","","01/01/1963","","","HI","University of Hawaii Honolulu Community College","","","01/01/1964","$181,800.00","","","","","HI","","","","","","$0.00",""
"6323920","N/A","","","01/01/1963","","","HI","University of Hawaii Honolulu Community College","","","03/01/1963","$11,850.00","","","","","HI","","","","","","$0.00",""
"6010345","N/A","","","01/01/1960","","","HI","University of Hawaii Honolulu Community College","","","02/01/1960","$13,470.00","","","","","HI","","","","","","$0.00",""
"6008562","Establishment of a Computing Center IBM 650)","","","01/01/1960","","","HI","University of Hawaii Honolulu Community College","","","01/01/1961","$50,000.00","","","","","HI","","","","","","$0.00",""
"6007772","Alkaloids of Hawaiian Rutaceae","","","01/01/1960","","","HI","University of Hawaii Honolulu Community College","","","01/01/1962","$13,100.00","","","","","HI","","","","","","$0.00",""
"5601534","Pioneer Populations on Recent Lava Flows","","","01/01/1956","","","HI","University of Hawaii Honolulu Community College","","","01/01/1957","$1,400.00","","","","","HI","","","","","","$0.00",""
"6112571","Equipment for Biochemical Research","","","01/01/1961","","","HI","University of Hawaii Honolulu Community College","","","01/01/1962","$38,500.00","","","","","HI","","","","","","$0.00",""
"6216506","Genetic Studies of Human Populations","","","01/01/1962","","","HI","University of Hawaii Honolulu Community College","","","01/01/1964","$16,200.00","","","","","HI","","","","","","$0.00",""
