"AwardNumber","Title","NSFOrganization","Program(s)","StartDate","LastAmendmentDate","PrincipalInvestigator","State","Organization","AwardInstrument","ProgramManager","EndDate","AwardedAmountToDate","Co-PIName(s)","PIEmailAddress","OrganizationStreet","OrganizationCity","OrganizationState","OrganizationZip","OrganizationPhone","NSFDirectorate","ProgramElementCode(s)","ProgramReferenceCode(s)","ARRAAmount","Abstract"
"71Y8703","RESEARCH PARTICIPATION FOR COLLEGE TEACHERS -ACADEMIC  YEAR EXTENSION","","","01/01/1971","","","OK","Murray State College","","","01/01/1973","$2,000.00","","","","","OK","","","","","","$0.00",""
"6932511","Experiment on Ways of Supplying Computer Facilities to Small  Colleges for Instructional Use","","","01/01/1969","","","OK","Murray State College","","","01/01/1971","$24,900.00","","","","","OK","","","","","","$0.00",""
"7512311","Instructional Scientific Equipment Program","OAC","ALT IN HIGH ED-INST SC EQ","06/01/1975","05/15/1975","Ralph Benham","OK","Murray State College","Standard Grant","  name not available","05/31/1977","$1,000.00","","","","Tishomingo","OK","73460","4053712371","CSE","7450","","$0.00",""
"7614104","Instructional Scientific Equipment Program","SER","ALT IN HIGH ED-INST SC EQ","06/01/1976","06/08/1976","James Schammerhorn","OK","Murray State College","Standard Grant","name not available","12/01/1978","$700.00","","","","Tishomingo","OK","73460","4053712371","CSE","7450","","$0.00",""
"71U3982","","","","01/01/1971","","","OK","Murray State College","","","01/01/1971","$10,338.00","","","","","OK","","","","","","$0.00",""
"6009759","N/A","","","01/01/1960","","","OK","Murray State College","","","10/01/1960","$9,780.00","","","","","OK","","","","","","$0.00",""
"5804320","In-Service Institute for Teachers of Secondary School Science and Mathematics Teachers;","","","01/01/1958","","","OK","Murray State College","","","11/01/1958","$6,700.00","","","","","OK","","","","","","$0.00",""
"5703123","Summer Institute for High School Teachers of  Science;","","","01/01/1957","","","OK","Murray State College","","","03/01/1957","$72,600.00","","","","","OK","","","","","","$0.00",""
"7358052","","","","01/01/1973","","","OK","Murray State College","","","01/01/1973","$1,090.00","","","","","OK","","","","","","$0.00",""
"5703064","In-service Institute for High School Teachers of Science and Mathematics;","","","01/01/1957","","","OK","Murray State College","","","09/01/1957","$3,970.00","","","","","OK","","","","","","$0.00",""
"5906835","Summer Institute for High School Teachers of Science","","","01/01/1959","","","OK","Murray State College","","","03/01/1959","$84,500.00","","","","","OK","","","","","","$0.00",""
"6010382","N/A","","","01/01/1960","","","OK","Murray State College","","","03/01/1960","$19,240.00","","","","","OK","","","","","","$0.00",""
"66Y1287","","","","01/01/1966","","","OK","Murray State College","","","01/01/1968","$3,100.00","","","","","OK","","","","","","$0.00",""
"5906532","In-Service Institute for Secondary School Teachers of Science and Mathematics","","","01/01/1959","","","OK","Murray State College","","","10/01/1959","$7,100.00","","","","","OK","","","","","","$0.00",""
"64E3695","","","","01/01/1964","","","OK","Murray State College","","","03/01/1964","$23,890.00","","","","","OK","","","","","","$0.00",""
"7360298","INSTRUCTIONAL SCIENTIFIC EQUIPMENT PROGRAM","","","01/01/1973","","","OK","Murray State College","","","01/01/1975","$2,300.00","","","","","OK","","","","","","$0.00",""
"5804426","Summer Institute for High School Teachers of Science;","","","01/01/1958","","","OK","Murray State College","","","03/01/1958","$75,450.00","","","","","OK","","","","","","$0.00",""
"6114335","N/A","","","01/01/1961","","","OK","Murray State College","","","03/01/1961","$20,295.00","","","","","OK","","","","","","$0.00",""
"64E6027","","","","01/01/1964","","","OK","Murray State College","","","01/01/1966","$1,000.00","","","","","OK","","","","","","$0.00",""
"65E9185","","","","01/01/1965","","","OK","Murray State College","","","01/01/1967","$2,900.00","","","","","OK","","","","","","$0.00",""
